yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2021-06-13,61.52,69.99,15.7,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2021-06-20,95.77,73.9,13.07,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2021-06-27,93.91,69.19,21.44,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2021-07-04,158.83,73.76,16.9,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-07-11,116.55,77.81,14.56,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2021-07-18,104.18,72.12,21.26,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-07-25,49.97,70.43,18.68,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-08-01,92.87,65.12,18.12,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-08-08,68.47,72.4,16.78,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-08-15,54.0,65.21,19.03,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2021-08-22,31.38,64.14,18.38,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-08-29,86.41,87.1,5.8,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2021-09-05,148.9,72.58,14.12,0.34,1095,P1,P103,P103056,칸쵸,종로영업소
2021-09-12,81.65,79.75,13.95,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2021-09-19,90.88,62.0,19.93,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-09-26,12.91,67.41,18.18,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2021-10-03,45.6,78.48,11.68,0.34,1095,P1,P103,P103056,칸쵸,종로영업소
2021-10-10,74.75,86.88,4.97,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-10-17,75.34,70.43,12.26,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-10-24,63.91,63.66,13.23,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2021-10-31,25.62,62.59,13.89,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-11-07,110.02,74.2,11.5,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-11-14,125.01,71.49,7.39,0.35,1095,P1,P103,P103056,칸쵸,종로영업소
