yymmdd,qty,SP1,브랜드
2022-10-16,105.875,종로영업소,칸쵸
2022-10-23,148.625,종로영업소,칸쵸
2022-10-30,109.0625,종로영업소,칸쵸
2022-11-06,160.875,종로영업소,칸쵸
2022-11-13,125.375,종로영업소,칸쵸
2022-11-20,163.75,종로영업소,칸쵸
2022-11-27,78.3125,종로영업소,칸쵸
2022-12-04,90.4375,종로영업소,칸쵸
2022-12-11,121.8125,종로영업소,칸쵸
2022-12-18,98.125,종로영업소,칸쵸
2022-12-25,124.9375,종로영업소,칸쵸
2023-01-01,109.9375,종로영업소,칸쵸
2023-01-08,170.625,종로영업소,칸쵸
2023-01-15,221.375,종로영업소,칸쵸
2023-01-22,85.3125,종로영업소,칸쵸
2020-06-28,84.42343139648438,종로영업소,칙촉
2020-07-05,84.4375,종로영업소,칙촉
2020-07-12,84.4375,종로영업소,칙촉
2020-07-19,84.4375,종로영업소,칙촉
2020-07-26,84.4375,종로영업소,칙촉
2020-08-02,84.4375,종로영업소,칙촉
2020-08-09,84.4375,종로영업소,칙촉
2020-08-16,84.4375,종로영업소,칙촉
2020-08-23,84.4375,종로영업소,칙촉
2020-08-30,84.4375,종로영업소,칙촉
2020-09-06,84.4375,종로영업소,칙촉
2020-09-13,84.4375,종로영업소,칙촉
2020-09-20,84.4375,종로영업소,칙촉
2020-09-27,84.4375,종로영업소,칙촉
2020-10-04,84.4375,종로영업소,칙촉
2020-10-11,84.4375,종로영업소,칙촉
2020-10-18,84.42343139648438,종로영업소,칙촉
2020-10-25,84.4375,종로영업소,칙촉
2020-11-01,84.42343139648438,종로영업소,칙촉
2020-11-08,84.4375,종로영업소,칙촉
2020-11-15,84.4375,종로영업소,칙촉
2020-11-22,84.4375,종로영업소,칙촉
2020-11-29,84.4375,종로영업소,칙촉
2020-12-06,84.4375,종로영업소,칙촉
2020-12-13,84.4375,종로영업소,칙촉
2020-12-20,84.4375,종로영업소,칙촉
2020-12-27,84.4375,종로영업소,칙촉
2021-01-03,84.4375,종로영업소,칙촉
2021-01-10,84.4375,종로영업소,칙촉
2021-01-17,84.4375,종로영업소,칙촉
2021-01-24,84.4375,종로영업소,칙촉
2021-01-31,84.4375,종로영업소,칙촉
2021-02-07,84.4375,종로영업소,칙촉
2021-02-14,84.4375,종로영업소,칙촉
2021-02-21,84.4375,종로영업소,칙촉
2021-02-28,84.4375,종로영업소,칙촉
2021-03-07,84.4375,종로영업소,칙촉
2021-03-14,84.4375,종로영업소,칙촉
2021-03-21,84.4375,종로영업소,칙촉
2021-03-28,84.4375,종로영업소,칙촉
2021-04-04,84.4375,종로영업소,칙촉
2021-04-11,84.4375,종로영업소,칙촉
2021-04-18,84.4375,종로영업소,칙촉
2021-04-25,84.4375,종로영업소,칙촉
2021-05-02,10.0,종로영업소,칙촉
2021-05-09,84.4375,종로영업소,칙촉
2021-05-16,84.42343139648438,종로영업소,칙촉
2021-05-23,6.0,종로영업소,칙촉
2021-05-30,84.42343139648438,종로영업소,칙촉
2021-06-06,24.0,종로영업소,칙촉
2021-06-13,20.0,종로영업소,칙촉
2021-06-20,14.53125,종로영업소,칙촉
2021-06-27,11.5,종로영업소,칙촉
2021-07-04,21.0625,종로영업소,칙촉
2021-07-11,50.28125,종로영업소,칙촉
2021-07-18,12.0,종로영업소,칙촉
2021-07-25,28.0,종로영업소,칙촉
2021-08-01,20.0,종로영업소,칙촉
2021-08-08,82.8125,종로영업소,칙촉
2021-08-15,97.0,종로영업소,칙촉
2021-08-22,67.25,종로영업소,칙촉
2021-08-29,36.0,종로영업소,칙촉
2021-09-05,103.5,종로영업소,칙촉
2021-09-12,63.4375,종로영업소,칙촉
2021-09-19,62.34375,종로영업소,칙촉
2021-09-26,15.828125,종로영업소,칙촉
