,Time index
-28,3.05191
-27,3.6936686
-26,2.3883395
-25,5.452666
-24,1.8712782
-23,2.0713377
-22,1.8755505
-21,2.552478
-20,3.285402
-19,2.5470057
-18,3.7108002
-17,5.645724
-16,7.01328
-15,7.961166
-14,6.4205766
-13,4.7164497
-12,12.524564
-11,12.488993
-10,4.693694
-9,5.897687
-8,2.7871196
-7,3.5525558
-6,3.653479
-5,10.758069
-4,2.3434877
-3,12.077304
-2,4.5464816
-1,4.418934
