y,ds,str_cd,prod_cd
5,2019-07-06,110438,46145000
5,2019-07-07,110438,46145000
10,2019-07-08,110438,46145000
4,2019-07-09,110438,46145000
11,2019-07-10,110438,46145000
16,2019-07-11,110438,46145000
7,2019-07-12,110438,46145000
13,2019-07-13,110438,46145000
9,2019-07-15,110438,46145000
8,2019-07-16,110438,46145000
12,2019-07-17,110438,46145000
5,2019-07-18,110438,46145000
3,2019-07-19,110438,46145000
9,2019-07-20,110438,46145000
8,2019-07-21,110438,46145000
6,2019-07-22,110438,46145000
10,2019-07-23,110438,46145000
11,2019-07-24,110438,46145000
7,2019-07-25,110438,46145000
4,2019-07-26,110438,46145000
10,2019-07-27,110438,46145000
17,2019-07-29,110438,46145000
4,2019-07-30,110438,46145000
16,2019-07-31,110438,46145000
7,2019-08-01,110438,46145000
10,2019-08-02,110438,46145000
11,2019-08-03,110438,46145000
16,2019-08-04,110438,46145000
7,2019-08-05,110438,46145000
12,2019-08-06,110438,46145000
11,2019-08-07,110438,46145000
12,2019-08-08,110438,46145000
13,2019-08-09,110438,46145000
11,2019-08-10,110438,46145000
22,2019-08-12,110438,46145000
13,2019-08-13,110438,46145000
19,2019-08-14,110438,46145000
13,2019-08-15,110438,46145000
18,2019-08-16,110438,46145000
13,2019-08-17,110438,46145000
14,2019-08-18,110438,46145000
17,2019-08-19,110438,46145000
10,2019-08-20,110438,46145000
14,2019-08-21,110438,46145000
11,2019-08-22,110438,46145000
11,2019-08-23,110438,46145000
10,2019-08-24,110438,46145000
13,2019-08-26,110438,46145000
12,2019-08-27,110438,46145000
11,2019-08-28,110438,46145000
16,2019-08-29,110438,46145000
9,2019-08-30,110438,46145000
4,2019-08-31,110438,46145000
12,2019-09-01,110438,46145000
11,2019-09-02,110438,46145000
12,2019-09-03,110438,46145000
6,2019-09-04,110438,46145000
8,2019-09-05,110438,46145000
12,2019-09-06,110438,46145000
12,2019-09-07,110438,46145000
15,2019-09-09,110438,46145000
12,2019-09-10,110438,46145000
15,2019-09-11,110438,46145000
8,2019-09-12,110438,46145000
1,2019-09-13,110438,46145000
3,2019-09-14,110438,46145000
0,2019-09-15,110438,46145000
8,2019-09-16,110438,46145000
6,2019-09-17,110438,46145000
0,2019-09-18,110438,46145000
10,2019-09-19,110438,46145000
8,2019-09-20,110438,46145000
4,2019-09-21,110438,46145000
12,2019-09-23,110438,46145000
